;name;loc_orig;start_walk
0;people0;{2900.0,700.0};43
1;people1;{2700.0,1100.0};56
2;people2;{1900.0,700.0};20
3;people3;{2600.0,1900.0};14
4;people4;{600.0,1700.0};50
5;people5;{1300.0,1400.0};44
6;people6;{2200.0,600.0};56
7;people7;{600.0,1100.0};26
8;people8;{1800.0,1400.0};41
9;people9;{2400.0,1600.0};43
10;people10;{800.0,700.0};45
11;people11;{2200.0,2600.0};40
12;people12;{700.0,800.0};17
13;people13;{2700.0,1900.0};13
14;people14;{1700.0,600.0};13
15;people15;{2900.0,200.0};19
16;people16;{400.0,400.0};4
17;people17;{100.0,800.0};48
18;people18;{100.0,1100.0};25
19;people19;{1100.0,1800.0};26
20;people20;{1100.0,2200.0};45
21;people21;{2200.0,1400.0};27
22;people22;{900.0,900.0};5
23;people23;{900.0,1900.0};48
24;people24;{800.0,100.0};23
25;people25;{900.0,300.0};59
26;people26;{2300.0,900.0};58
27;people27;{900.0,100.0};37
28;people28;{2800.0,200.0};28
29;people29;{2200.0,2700.0};11
30;people30;{1200.0,200.0};2
31;people31;{1600.0,2200.0};18
32;people32;{2900.0,1800.0};13
33;people33;{2400.0,2600.0};50
34;people34;{1400.0,100.0};24
35;people35;{1900.0,1100.0};26
36;people36;{400.0,200.0};44
37;people37;{400.0,400.0};8
38;people38;{1200.0,2300.0};8
39;people39;{1900.0,1200.0};28
40;people40;{1100.0,200.0};7
41;people41;{700.0,1900.0};36
42;people42;{2400.0,600.0};39
43;people43;{1200.0,1400.0};35
44;people44;{2300.0,2300.0};45
45;people45;{1300.0,600.0};22
46;people46;{2900.0,2300.0};38
47;people47;{800.0,2400.0};59
48;people48;{1400.0,400.0};40
49;people49;{2800.0,1400.0};52
50;people50;{100.0,1400.0};1
51;people51;{1700.0,1700.0};11
52;people52;{1600.0,400.0};12
53;people53;{1600.0,1300.0};45
54;people54;{1800.0,2200.0};27
55;people55;{1100.0,1200.0};37
56;people56;{1200.0,2200.0};31
57;people57;{2700.0,400.0};2
58;people58;{400.0,900.0};43
59;people59;{900.0,1400.0};35
60;people60;{2900.0,300.0};43
61;people61;{1400.0,600.0};1
62;people62;{1700.0,1100.0};8
63;people63;{2700.0,2400.0};13
64;people64;{2200.0,900.0};0
65;people65;{100.0,1700.0};28
66;people66;{2600.0,2200.0};45
67;people67;{2400.0,2300.0};58
68;people68;{1100.0,2400.0};43
69;people69;{2100.0,2700.0};17
70;people70;{1800.0,1300.0};31
71;people71;{2800.0,1100.0};39
72;people72;{200.0,2900.0};18
73;people73;{2600.0,2300.0};5
74;people74;{1700.0,1200.0};5
75;people75;{100.0,200.0};32
76;people76;{100.0,200.0};19
77;people77;{700.0,1400.0};29
78;people78;{900.0,2600.0};35
79;people79;{2400.0,1900.0};9
80;people80;{300.0,2600.0};28
81;people81;{1900.0,1300.0};1
82;people82;{2800.0,2800.0};42
83;people83;{1200.0,900.0};2
84;people84;{800.0,1800.0};30
85;people85;{2800.0,1900.0};46
86;people86;{2400.0,1800.0};22
87;people87;{2900.0,2800.0};17
