;highway;stop_type_index;loc
0;tram_stop;0;{0.0,0.0}
1;tram_stop;0;{0.0,500.0}
2;tram_stop;0;{0.0,1000.0}
3;tram_stop;0;{0.0,1500.0}
4;tram_stop;0;{0.0,2000.0}
5;tram_stop;0;{0.0,2500.0}
6;tram_stop;0;{0.0,3000.0}
7;bus_stop;1;{500.0,0.0}
8;bus_stop;1;{500.0,500.0}
9;bus_stop;1;{500.0,1000.0}
10;tram_stop;0;{500.0,1500.0}
11;bus_stop;1;{500.0,2000.0}
12;tram_stop;0;{500.0,2500.0}
13;tram_stop;0;{500.0,3000.0}
14;tram_stop;0;{1000.0,0.0}
15;bus_stop;1;{1000.0,500.0}
16;bus_stop;1;{1000.0,1000.0}
17;tram_stop;0;{1000.0,1500.0}
18;bus_stop;1;{1000.0,2000.0}
19;tram_stop;0;{1000.0,2500.0}
20;tram_stop;0;{1000.0,3000.0}
21;tram_stop;0;{1500.0,0.0}
22;tram_stop;0;{1500.0,500.0}
23;bus_stop;1;{1500.0,1000.0}
24;tram_stop;0;{1500.0,1500.0}
25;bus_stop;1;{1500.0,2000.0}
26;bus_stop;1;{1500.0,2500.0}
27;bus_stop;1;{1500.0,3000.0}
28;bus_stop;1;{2000.0,0.0}
29;bus_stop;1;{2000.0,500.0}
30;tram_stop;0;{2000.0,1000.0}
31;tram_stop;0;{2000.0,1500.0}
32;tram_stop;0;{2000.0,2000.0}
33;tram_stop;0;{2000.0,2500.0}
34;tram_stop;0;{2000.0,3000.0}
35;tram_stop;0;{2500.0,0.0}
36;bus_stop;1;{2500.0,500.0}
37;bus_stop;1;{2500.0,1000.0}
38;bus_stop;1;{2500.0,1500.0}
39;tram_stop;0;{2500.0,2000.0}
40;bus_stop;1;{2500.0,2500.0}
41;bus_stop;1;{2500.0,3000.0}
42;bus_stop;1;{3000.0,0.0}
43;bus_stop;1;{3000.0,500.0}
44;tram_stop;0;{3000.0,1000.0}
45;bus_stop;1;{3000.0,1500.0}
46;tram_stop;0;{3000.0,2000.0}
47;bus_stop;1;{3000.0,2500.0}
48;bus_stop;1;{3000.0,3000.0}
